lot_size,sqft,sale_price,sale_month,std_sqft,std_lot
6889,1712,320000,Dec-18,-0.037232532,-0.75094502
4791,1157,150000,Dec-18,-0.890421745,-0.88159654
6100,748,73000,Dec-18,-1.519168391,-0.800079457
15246,1176,125000,Nov-18,-0.861213466,-0.230518541
67953.6,1152,147500,Nov-18,-0.898108135,3.051811327
16552.8,1377,170000,Nov-18,-0.552220616,-0.149138461
32670,1322,191000,Nov-18,-0.636770898,0.854549184
25700.4,2132,245000,Nov-18,0.60842417,0.420522094
16988.4,1645,147700,Nov-18,-0.140230149,-0.122011768
22215.6,1687,160000,Oct-18,-0.075664479,0.203508549
7500,968,231000,Oct-18,-1.180967261,-0.712895412
13503.6,848,140000,Oct-18,-1.365440605,-0.339025313
35283.6,1434,180000,Oct-18,-0.464595778,1.017309343
15246,1106,165000,Oct-18,-0.968822916,-0.230518541
5401,1152,180000,Oct-18,-0.898108135,-0.843609206
24829.2,1075,129000,Oct-18,-1.01647853,0.366268708
5350,1165,146500,Oct-18,-0.878123523,-0.846785196
62726.4,1537,176500,Oct-18,-0.306256158,2.72629101
50094,1396,154000,Oct-18,-0.523012336,1.939616909
11761.2,2124,220500,Oct-18,0.596125947,-0.447532086
20908.8,4419,389000,Sep-18,4.124178641,0.12212847
59677.2,2770,3.00E+05,Sep-18,1.589207446,2.536404158
9722,1269,176000,Sep-18,-0.718246625,-0.574521876
11325.6,1571,222000,Sep-18,-0.253988711,-0.474658779
20908.8,1694,187000,Sep-18,-0.064903533,0.12212847
12632.4,1974,236500,Sep-18,0.365534268,-0.393278699
7840,2080,209800,Sep-18,0.528485721,-0.691722143
11325.6,1940,230000,Sep-18,0.313266821,-0.474658779
6625,1440,232000,Sep-18,-0.45537211,-0.76738544
3484,1760,280000,Sep-18,0.036556805,-0.962989074
13068,1867,272000,Sep-18,0.201045537,-0.366152006
10454,1611,260000,Sep-18,-0.192497596,-0.528937075
13068,1844,153000,Sep-18,0.165688146,-0.366152006
12196.8,2224,360000,Sep-18,0.749853733,-0.420405393
12196.8,1008,297500,Sep-18,-1.119476147,-0.420405393
15681.6,1234,130000,Sep-18,-0.77205135,-0.203391848
8276,1867,140000,Aug-18,0.201045537,-0.66457054
1600,1254,45000,Aug-18,-0.741305793,-1.08031389
10890,2198,385000,Aug-18,0.709884509,-0.501785472
30492,1842,240000,Aug-18,0.16261359,0.718915719
20037.6,1075,80000,Aug-18,-1.01647853,0.067875084
9583,1915,228000,Aug-18,0.274834874,-0.583178006
15246,1519,190000,Aug-18,-0.333927159,-0.230518541
9670,1042,135000,Aug-18,-1.0672087,-0.57776014
9801,1332,160000,Aug-18,-0.62139812,-0.569602205
19602,1332,160000,Aug-18,-0.62139812,0.04074839
10890,2464,249999,Aug-18,1.11880042,-0.501785472
14810.4,3750,345000,Aug-18,3.095739751,-0.257645234
16988.4,1686,149000,Aug-18,-0.077201756,-0.122011768
74487.6,1245,123500,Aug-18,-0.755141294,3.458711724
20908.8,1995,150000,Aug-18,0.397817103,0.12212847
19602,1128,97000,Aug-18,-0.935002803,0.04074839
10108,1888,355000,Aug-18,0.233328372,-0.550483989
52707.6,2330,325000,Aug-18,0.912805187,2.102377068
14810.4,2154,343000,Aug-18,0.642244283,-0.257645234
33976.8,2984,265000,Jul-18,1.918184909,0.935929264
21780,1392,150000,Jul-18,-0.529161448,0.176381856
6098,2014,315000,Jul-18,0.427025382,-0.800204006
20908.8,1995,150000,Jul-18,0.397817103,0.12212847
22651.2,2366,287000,Jul-18,0.96814719,0.230635242
56628,2123,255000,Jul-18,0.594588669,2.346517306
8276,888,128000,Jul-18,-1.30394949,-0.66457054
1,1680,235000,Jul-18,-0.086425424,-1.179890526
20473.2,2626,355000,Jul-18,1.367839434,0.095001777
47916,1711,339000,Jul-18,-0.03876981,1.803983443
16988.4,1300,155000,Jul-18,-0.670591011,-0.122011768
13503.6,1980,250000,Jul-18,0.374757935,-0.339025313
53578.8,2384,266500,Jul-18,0.995818191,2.156630454
13068,1148,143000,Jul-18,-0.904257246,-0.366152006
15681.6,4635,355000,Jul-18,4.456230659,-0.203391848
25700.4,1638,182000,Jul-18,-0.150991094,0.420522094
13503.6,2570,310000,Jul-18,1.281751874,-0.339025313
47480.4,2227,282500,Jul-18,0.754465567,1.77685675
37026,2018,237000,Jul-18,0.433174494,1.125816115
16988.4,1577,190000,Jul-18,-0.244765043,-0.122011768
14810.4,2321,180000,Jun-18,0.898969686,-0.257645234
13939.2,1452,194000,Jun-18,-0.436924776,-0.31189862
9870,1008,125000,Jun-18,-1.119476147,-0.565305277
26571.6,3000,291900,Jun-18,1.942781354,0.47477548
11761.2,1726,177500,Jun-18,-0.015710642,-0.447532086
14810.4,2474,322700,Jun-18,1.134173199,-0.257645234
12632.4,2316,289000,Jun-18,0.891283297,-0.393278699
9147,1351,152000,Jun-18,-0.59218984,-0.610329609
13068,2181,193000,Jun-18,0.683750785,-0.366152006
8216,1394,280000,Jun-18,-0.526086892,-0.668307
82764,1554,135000,Jun-18,-0.280122434,3.974118893
16552.8,948,176000,Jun-18,-1.211712819,-0.149138461
5376,1176,215000,Jun-18,-0.861213466,-0.845166064
55756.8,2256,293000,Jun-18,0.799046625,2.29226392
8712,1752,310000,Jun-18,0.024258583,-0.637418938
15246,1764,175400,Jun-18,0.042705917,-0.230518541
8400,1631,175950,May-18,-0.161752039,-0.656848525
8170,1232,145000,May-18,-0.775125906,-0.671171618
8276,2212,175000,May-18,0.731406399,-0.66457054
15681.6,2484,250000,May-18,1.149545978,-0.203391848
5680,1212,88000,May-18,-0.805871463,-0.826234671
14374.8,1955,224350,May-18,0.336325989,-0.284771927
13068,1936,1.00E+05,May-18,0.307117709,-0.366152006
4356,1090,29900,May-18,-0.993419362,-0.908685869
53143.2,2764,313500,May-18,1.579983779,2.129503761
1600,1254,185000,May-18,-0.741305793,-1.08031389
18730.8,1508,154700,May-18,-0.350837216,-0.013504996
7840,1205,110000,May-18,-0.816632408,-0.691722143
12632.4,1176,160000,May-18,-0.861213466,-0.393278699
80150.4,1390,265000,May-18,-0.532236004,3.811358734
12196.8,2092,175100,May-18,0.546933056,-0.420405393
12196.8,1744,175000,Apr-18,0.01196036,-0.420405393
9108,1160,124000,Apr-18,-0.885809912,-0.612758307
13503.6,1832,283000,Apr-18,0.147240811,-0.339025313
8276,2223,224000,Apr-18,0.748316456,-0.66457054
16988.4,1456,163000,Apr-18,-0.430775665,-0.122011768
27442.8,1864,165000,Apr-18,0.196433703,0.529028867
59677.2,1669,132830,Apr-18,-0.10333548,2.536404158
21344.4,1994,240000,Apr-18,0.396279825,0.149255163
1600,1254,92000,Apr-18,-0.741305793,-1.08031389
9583,900,140000,Apr-18,-1.285502156,-0.583178006
33976.8,1483,265000,Apr-18,-0.389269162,0.935929264
20908.8,1740,216000,Mar-18,0.005811248,0.12212847
14810.4,1680,215000,Mar-18,-0.086425424,-0.257645234
6969,1080,340000,Mar-18,-1.008792141,-0.745963075
13068,1084,122500,Mar-18,-1.002643029,-0.366152006
16988.4,2458,245000,Mar-18,1.109576753,-0.122011768
11761.2,1226,180000,Feb-18,-0.784349573,-0.447532086
19602,1266,130000,Feb-18,-0.722858458,0.04074839
27007.2,1496,45000,Feb-18,-0.36928455,0.501902174
10890,1144,115000,Feb-18,-0.910406358,-0.501785472
20473.2,1075,119000,Feb-18,-1.01647853,0.095001777
12632.4,1296,176500,Jan-18,-0.676740123,-0.393278699
9200,885,96000,Jan-18,-1.308561324,-0.60702907
19602,1025,129000,Jan-18,-1.093342423,0.04074839
71002.8,4196,263000,Jan-18,3.781365677,3.241698179
20473.2,1370,243500,Jan-18,-0.562981561,0.095001777
8964,896,71000,Dec-17,-1.291651267,-0.621725809
32670,1738,151000,Dec-17,0.002736692,0.854549184
9147,1894,132000,Dec-17,0.242552039,-0.610329609
23522.4,1604,124900,Dec-17,-0.203258541,0.284888629
29620.8,1839,155000,Dec-17,0.158001757,0.664662332
20473.2,2882,235000,Dec-17,1.761382567,0.095001777
23522.4,2040,223000,Dec-17,0.466994607,0.284888629
32234.4,2418,234500,Dec-17,1.048085639,0.827422491
13939.2,1232,125000,Nov-17,-0.775125906,-0.31189862
9272,1152,194000,Nov-17,-0.898108135,-0.602545319
