"playerID","avgSO","avgG","avgERA","avgIBB","rookie_year","n_years","team"
"ryuja01",10.6666666666667,9.33333333333333,5.24333333333333,5.24333333333333,2006,2,"TBA"
"rzepcma01",47.6666666666667,46.1666666666667,3.90583333333333,3.90583333333333,2009,5,"TOR"
"saarlki01",35.8571428571429,23.5714285714286,5.27714285714286,5.27714285714286,2002,6,"OAK"
"sabatcc01",174.071428571429,30.2142857142857,3.76214285714286,3.76214285714286,2001,13,"CLE"
"sabeler01",10.3333333333333,16.6666666666667,5.45,5.45,1999,3,"ARI"
"saberbr01",107.1875,24.9375,3.7496875,3.7496875,1984,17,"KCA"
"sackibr01",2,3,3.86,3.86,1996,0,"BAL"
"sadecra01",89.6666666666667,31.2777777777778,3.78462962962963,3.78462962962963,1960,17,"NYN"
"sadlebi01",16.6666666666667,13,8.10333333333333,8.10333333333333,2006,3,"SFN"
"sadleca01",16.5,21,3.145,3.145,2002,1,"CLE"
"sadleca02",7,6,7.84,7.84,2014,0,"PIT"
"sadowbo02",64.25,28.75,4.11,4.11,1963,3,"ML1"
"sadowji01",1,4,6,6,1974,0,"PIT"
"sadowry01",17,6,4.45,4.45,2009,0,"SFN"
"sadowte01",13,14.3333333333333,5.68,5.68,1960,2,"MIN"
"saenzch01",7,1,0,0,2004,0,"MIL"
"sageraj01",32.8,24.6,5.81,5.81,1994,4,"DET"
"sainjo01",82.7272727272727,37.4545454545455,3.71545454545455,3.71545454545455,1942,13,"BSN"
"saipemi01",2,2,10.8,10.8,1998,0,"COL"
"saitota01",57.1428571428571,48.2857142857143,2.85714285714286,2.85714285714286,2006,6,"LAN"
"salasfe01",49.4,48.8,3.596,3.596,2010,4,"SLN"
"salasju01",14,15.6666666666667,5.41,5.41,2006,2,"TBA"
"salasma02",9,13,8.47,8.47,2008,0,"PIT"
"salazda01",92.5,15,3.685,3.685,2013,1,"CLE"
"salazlu01",0,2,4.5,4.5,1987,0,"SDN"
"salech01",147.4,33,2.602,2.602,2010,4,"CHA"
"salefr01",0,1,0,0,1924,0,"PIT"
"salisbi01",0,2,13.5,13.5,1902,0,"PHI"
"salisha01",83,24,2.425,2.425,1879,3,"PT1"
"salkero01",47,15,4.96,4.96,1993,3,"SEA"
"sallesl01",59.7142857142857,34,2.61107142857143,2.61107142857143,1908,13,"SLN"
"salmobr01",22,26,4.13,4.13,2007,0,"CIN"
"salmoro01",5,2,9,9,1912,0,"PHA"
"salvegu01",6,2,4.11,4.11,1908,0,"PHA"
"salveja01",17,17.4,4.26,4.26,1933,12,"CLE"
"salvoma01",49.4,27,5.458,5.458,1939,4,"BSN"
"samarje01",105.428571428571,31.7142857142857,4.61357142857143,4.61357142857143,2008,6,"CHN"
"sambijo01",44.4545454545455,41.9090909090909,3.9,3.9,1976,11,"HOU"
"sampebi01",35.2,36.4,4.547,4.547,1990,4,"MON"
"sampsbe01",36,17.5,4.835,4.835,1998,1,"MIN"
"sampsch01",35.2,34.8,4.38,4.38,2006,4,"HOU"
"samuejo01",1,2,16.5,16.5,1930,0,"DET"
"samuero01",12,10,6.645,6.645,1988,1,"PIT"
"sanabal01",28.6666666666667,9.33333333333333,3.96,3.96,2010,3,"FLO"
"sanchaa01",27,24,1.09,1.09,2014,0,"TOR"
"sanchal02",4,4,10.03,10.03,1989,0,"TOR"
"sanchan01",115.222222222222,21.7777777777778,3.79222222222222,3.79222222222222,2006,8,"FLO"
"sanchbr01",29.1428571428571,27.8571428571429,5.35714285714286,5.35714285714286,2006,6,"FLO"
"sanchdu01",30.5714285714286,41.1428571428571,7.1,7.1,2002,7,"LAN"
"sanched01",17.6666666666667,15.6666666666667,4.69333333333333,4.69333333333333,2011,2,"SLN"
"sanchfe01",2,3,10.8,10.8,2003,0,"CHN"
"sanchhu01",1,2,4.5,4.5,2008,0,"NYA"
"sanchis01",9.5,15,6.46,6.46,1988,2,"KCA"
"sanchje01",54.8571428571429,23.1428571428571,7.15,7.15,1998,6,"FLO"
"sanchjo01",99.5,24.25,5.988125,5.988125,2006,7,"SFN"
"sanchlu01",43.2,38.8,3.772,3.772,1981,4,"CAL"
"sanchra01",16,16.3333333333333,4.40666666666667,4.40666666666667,1952,8,"CIN"
"sanchro01",6.33333333333333,9.33333333333333,3.01666666666667,3.01666666666667,2007,3,"PIT"
"sandebe01",93.6,33.6,3.244,3.244,1888,4,"PHI"
"sandeda01",7.5,11,9.82,9.82,2003,2,"CHA"
"sandede01",1,2,40.5,40.5,1945,0,"SLA"
"sandeke01",36,40.8,3.15,3.15,1964,12,"ML4"
"sandero01",29,15,3.55,3.55,1917,1,"CIN"
"sandero02",5,7,4.7,4.7,1918,2,"NYA"
"sandesc01",84.7894736842105,24.8421052631579,4.07289473684211,4.07289473684211,1978,18,"CHN"
"sandesc02",90.2857142857143,33.5714285714286,5.55857142857143,5.55857142857143,1993,6,"SDN"
"sandewa01",10,6,5.41,5.41,1903,1,"SLN"
"sanfofr01",40.7142857142857,23.4285714285714,3.94,3.94,1943,8,"SLA"
"sanfoja02",98.5,32.3333333333333,3.66333333333333,3.66333333333333,1956,11,"SFN"
"sanfomo01",28,9,4.82,4.82,1991,4,"CIN"
"sanitam01",4,4,12.86,12.86,2011,0,"NYA"
"santaer01",150.7,29.9,4.286,4.286,2005,9,"LAA"
"santajo01",165.666666666667,30,3.53,3.53,2000,12,"MIN"
"santaju01",44,29.8571428571429,5.85357142857143,5.85357142857143,1997,9,"TBA"
"santama01",7,5,9.715,9.715,1998,1,"BOS"
"santihe01",81.5,27,2.66,2.66,2011,3,"CHA"
"santijo01",9.66666666666667,9,3.59666666666667,3.59666666666667,1954,2,"CLE"
"santijo02",50.5,20.375,5.75875,5.75875,1963,7,"BOS"
"santijo03",19.125,28.625,4.52,4.52,1997,8,"KCA"
"santoal01",44.6666666666667,21.1666666666667,3.88583333333333,3.88583333333333,1968,5,"SLN"
"santose01",41.8,36,5.166,5.166,2010,4,"TOR"
"santovi01",60.7142857142857,26.5714285714286,6.08285714285714,6.08285714285714,2001,6,"MIL"
"sarfade01",32.75,23,3.8075,3.8075,2006,3,"BAL"
"sarmima01",40.4285714285714,32.5714285714286,3.37285714285714,3.37285714285714,1976,7,"CIN"
"sasakka01",60.5,57,3.2425,3.2425,2000,3,"SEA"
"saucike01",18.8,27.8,6.076,6.076,1978,4,"PHI"
"sauersc01",55.5714285714286,67.2857142857143,4.02642857142857,4.02642857142857,1999,7,"PIT"
"saundde01",8,8,3.21,3.21,1970,0,"DET"
"saundjo01",79.2,23.5,5.1995,5.1995,2005,9,"LAA"
"saundto01",101.333333333333,20.6666666666667,5.05333333333333,5.05333333333333,1997,2,"TBA"
"sauveri01",4.66666666666667,5.66666666666667,7.75833333333333,7.75833333333333,1986,14,"CHA"
"savagbo01",34.2,25.8,4.738,4.738,1942,7,"PHA"
"savagja01",6,10,5.505,5.505,1987,3,"LAN"
"saverjo01",8,11,2.1375,2.1375,2011,3,"PHI"
"saviddo01",2,3,9,9,1929,0,"WS1"
"savidra01",4.5,2.5,12.535,12.535,1908,1,"CIN"
"savramo01",7,16,4.88,4.88,1954,0,"CIN"
"sawyeri01",20.5,18.5,6.8925,6.8925,1974,3,"NYA"
"sawyewi01",76,17,2.36,2.36,1883,0,"CL2"
"saylebi01",26,14,6.65,6.65,1939,4,"BOS"
"sayloph01",0,1,6,6,1891,0,"PHI"
"sborzja01",1,1,67.5,67.5,2010,0,"DET"
"scahiro01",11.6666666666667,13.6666666666667,3.65666666666667,3.65666666666667,2012,2,"COL"
"scanlbo01",27.2222222222222,32.2222222222222,7.43,7.43,1991,10,"CHN"
"scanldo01",73,22.625,3.253125,3.253125,1903,8,"BRO"
"scanlfr01",5,6,1.64,1.64,1909,0,"PHI"
"scantpa01",10,6,6.63,6.63,1956,0,"CIN"
"scarbra01",56.4,31.8,4.1215,4.1215,1942,11,"WS1"
"scarbra02",31.5,30,4.35,4.35,1979,1,"CHA"
"scarcma01",32.8,31.8,3.6975,3.6975,1972,6,"PHI"
"schacal01",12.6666666666667,17.6666666666667,3.91333333333333,3.91333333333333,1919,2,"WS1"
"schacha01",6,6,5.28,5.28,1945,0,"BSN"
"schacsi01",6,9.5,13.7475,13.7475,1950,1,"SLA"
"schaege01",0,1,27,27,1912,1,"WS1"
"schaeha01",15,5,5.29,5.29,1952,0,"NYA"
"schaema01",25,41,4.61,4.61,1972,0,"SDN"
"schafjo01",22.6666666666667,24.6666666666667,5.51666666666667,5.51666666666667,1959,2,"CHN"
"schalar01",15.4,11.6,5.011,5.011,1951,4,"NYA"
"schanch01",48.6,31,5.194,5.194,1944,6,"PHI"
"schapjo01",38,15,3.52,3.52,1882,0,"SL4"
"scharbi01",42,23,3.97,3.97,1911,1,"BRO"
"schatda01",49.8666666666667,33.6,4.18966666666667,4.18966666666667,1977,14,"MON"
"schatje01",1,1,0,0,1981,0,"KCA"
"schauru01",32.8,18.6,4.064,4.064,1913,4,"NY1"
"scheeow01",5,6,7,7,1943,0,"WS1"
"schefaa01",4,4,1.93,1.93,1999,0,"SEA"
"schegle01",3,2,3.38,3.38,1912,0,"WS1"
"scheica01",26.3636363636364,24.2727272727273,5.79681818181818,5.79681818181818,1943,11,"PHA"
"scheifr01",3,1,12,12,1887,0,"CL3"
"scheija01",0.5,1.5,95.5,95.5,1893,1,"CL4"
"scheiri02",11.6666666666667,7,5.14666666666667,5.14666666666667,1992,3,"FLO"
"schelji01",0,1,NA,NA,1939,0,"PHA"
"schemfr01",0,1,27,27,1923,0,"WS1"
"schenbi01",4,2,0.9,0.9,1882,0,"LS2"
"schenjo01",0.5,1,16.5,16.5,1913,7,"PIT"
"schepta01",35.3333333333333,41,5.11,5.11,2012,2,"TEX"
"scherbi01",29.5714285714286,32.5714285714286,4.89142857142857,4.89142857142857,1982,6,"CIN"
"scherfr01",37.125,43.25,4.23375,4.23375,1969,7,"DET"
"scherma01",188.714285714286,29.5714285714286,3.55571428571429,3.55571428571429,2008,6,"DET"
"schesdu01",14,17,7.28,7.28,1931,0,"PHI"
"schetlo01",62,27,3.2,3.2,1910,0,"PHI"
"schilcu01",155.8,28.45,3.976,3.976,1988,19,"PHI"
"schilre01",4,4,6.75,6.75,1922,0,"PHA"
"schirca01",58.875,29.375,5.491875,5.491875,1984,7,"BOS"
"schleda01",22.75,23.5,5.64,5.64,2009,3,"DET"
"schlibi01",29,14.6666666666667,7.935,7.935,1908,6,"BOS"
"schlibr01",19,34,8.265,8.265,2010,4,"CHN"
"schlitr01",8,8,3.475,3.475,2009,1,"LAN"
"schlogu01",8,15,7.64,7.64,2014,0,"ATL"
"schmabr01",4,11,3.46,3.46,2003,0,"DET"
"schmeal01",2,2,3,3,1967,0,"NYN"
"schmege01",2,2,3,3,1952,0,"BOS"
"schmibu01",2,1,7.2,7.2,1909,0,"NYA"
"schmicr01",18.6,10.8,4.783,4.783,1890,11,"BLN"
"schmicu01",7,11,6.97,6.97,1995,0,"MON"
"schmida01",39.9166666666667,31.3333333333333,5.47333333333333,5.47333333333333,1981,11,"TEX"
"schmifr01",32.6666666666667,28.3333333333333,3.91888888888889,3.91888888888889,1944,3,"SLN"
"schmihe01",96,40,3.83,3.83,1903,0,"BRO"
"schmija01",125.571428571429,23.0714285714286,4.45107142857143,4.45107142857143,1995,14,"PIT"
"schmije01",2,9,7.88,7.88,1996,0,"CAL"
"schmijo01",57.3846153846154,28.1538461538462,3.335,3.335,1941,15,"CHN"
"schmipe01",0,1,4.5,4.5,1913,0,"SLA"
"schmiwi01",46.1428571428571,27.7142857142857,4.65285714285714,4.65285714285714,1952,7,"SLN"
"schmost01",29,48,5.01,5.01,2005,0,"LAN"
"schmuch01",11,9.5,5.025,5.025,1914,1,"BRO"
"schneda01",17.2,23.4,6.084,6.084,1963,6,"HOU"
"schnefr01",0,1,63,63,1910,0,"BRO"
"schneje01",17,11,4.88,4.88,1981,0,"BAL"
"schneka01",2.5,5.5,19.35,19.35,1922,1,"CIN"
"schnepe01",81.1666666666667,34.5,2.83666666666667,2.83666666666667,1914,5,"CIN"
"schoege01",1,1,7.36,7.36,1968,0,"WS2"
"schoeju01",1,2,0,0,1888,0,"IN3"
"schoesc01",47.3333333333333,48.0833333333333,5.08416666666667,5.08416666666667,1999,11,"ANA"
"schoomi01",41.3333333333333,43.3333333333333,3.75333333333333,3.75333333333333,1988,5,"SEA"
"schored01",3,2,7.5,7.5,1915,0,"CHN"
"schotge01",38.4,27.2,4.008,4.008,1935,4,"CIN"
"schoupe01",73.9090909090909,26.1818181818182,4.71909090909091,4.71909090909091,1991,10,"CIN"
"schreba01",5,3,5.4,5.4,1911,0,"CIN"
"schrepa01",1.66666666666667,4,2.78333333333333,2.78333333333333,1922,23,"BRO"
"schrest01",27.5,26,5.81,5.81,1999,1,"PHI"
"schroal01",15.75,8.75,6.635,6.635,1958,3,"BOS"
"schroch01",28.3333333333333,20.6666666666667,4.97666666666667,4.97666666666667,2006,2,"WAS"
"schroke01",53.1428571428571,25.1428571428571,5.04428571428571,5.04428571428571,1980,7,"MIN"
"schuero01",70.375,36.375,4.42875,4.42875,1972,7,"PHI"
"schulal01",89,32,3.243,3.243,1912,4,"BUF"
"schulba01",37.7142857142857,32.4285714285714,3.985,3.985,1955,10,"SLN"
"schulbo01",16.75,16.25,9.075,9.075,1951,4,"CHN"
"schulbo02",5,4,7.88,7.88,2014,0,"ARI"
"schulbu01",38.6,33.6,4.602,4.602,1975,4,"SLN"
"schulda01",5.66666666666667,6,7.03333333333333,7.03333333333333,1979,6,"CAL"
"schuldo01",24,12.6666666666667,6.2575,6.2575,1983,6,"CLE"
"schuler01",17,23,4.83,4.83,1994,1,"MIN"
"schuljo01",4,6,6.6,6.6,1891,0,"PHI"
